,"Type","Date","Name","Num","Item","Qty","Cost","On Hand","Avg Cost","Asset Value"
"Inventory",,,,,,,,"",,""
"0331/KHAKI S/M (FELT IVY, KHAKI)",,,,,,,,"",,""
,"Build Assembly","11/21/2025",,"154","5LASER TAN/BLACK",-1,"",3,0.00,0.00
,"Build Assembly","11/21/2025",,"155","5LASER TAN/BLACK",-1,"",2,0.00,0.00
"Total 5LASER TAN/BLACK (5 PANEL LASER-CUT WATERPROOF PERFORATED SNAPBACK CAPS, TAN/BLACK)",,,,,,,,2.00,,0.00
"5LASER TAN/BROWN (5 PANEL LASER-CUT WATERPROOF PERFORATED SNAPBACK CAPS, TAN/BROWN)",,,,,,,,"",,""
,"Inventory Adjust","03/10/2025",,,"5LASER TAN/BROWN",12,"",12,0.00,0.00
,"Invoice","03/18/2025","GRAND BAZAAR INC","430975","5LASER TAN/BROWN",-3,"",9,0.00,0.00
,"Build Assembly","03/25/2025",,"3","5LASER TAN/BROWN",-1,"",8,0.00,0.00
,"Build Assembly","03/25/2025",,"4","5LASER TAN/BROWN",-1,"",7,0.00,0.00
,"Build Assembly","03/25/2025",,"5","5LASER TAN/BROWN",-1,"",6,0.00,0.00
,"Build Assembly","03/25/2025",,"6","5LASER TAN/BROWN",-1,"",5,0.00,0.00
,"Build Assembly","03/31/2025",,"16","5LASER TAN/BROWN",-2,"",3,0.00,0.00
,"Build Assembly","03/31/2025",,"26","5LASER TAN/BROWN",-2,"",1,0.00,0.00
,"Item Receipt","05/20/2025","EPOCH",,"5LASER TAN/BROWN",108,0.00,109,0.00,0.00
,"Item Receipt","05/20/2025","EPOCH",,"5LASER TAN/BROWN",36,0.00,145,0.00,0.00
,"Build Assembly","05/30/2025",,"67","5LASER TAN/BROWN",-1,"",144,0.00,0.00
,"Build Assembly","06/05/2025",,"70","5LASER TAN/BROWN",-1,"",143,0.00,0.00
,"Invoice","06/13/2025","E & E BABY COUTURE","431546","5LASER TAN/BROWN",-3,"",140,0.00,0.00
,"Build Assembly","11/21/2025",,"149","5LASER TAN/BROWN",-3,"",137,0.00,0.00
"Total 5LASER TAN/BROWN (5 PANEL LASER-CUT WATERPROOF PERFORATED SNAPBACK CAPS, TAN/BROWN)",,,,,,,,137.00,,0.00
"5LASER TAN/NAVY (5 PANEL LASER-CUT WATERPROOF PERFORATED SNAPBACK CAPS, TAN/NAVY)",,,,,,,,"",,""
,"Item Receipt","05/20/2025","EPOCH",,"5LASER TAN/NAVY",108,0.00,108,0.00,0.00
,"Item Receipt","05/20/2025","EPOCH",,"5LASER TAN/NAVY",24,0.00,132,0.00,0.00
,"Build Assembly","11/21/2025",,"153","5LASER TAN/NAVY",-1,"",131,0.00,0.00
,"Invoice","01/07/2026","WHOLESALE IN MOTION","432961","5LASER TAN/NAVY",-3,"",128,0.00,0.00
"Total 5LASER TAN/NAVY (5 PANEL LASER-CUT WATERPROOF PERFORATED SNAPBACK CAPS, TAN/NAVY)",,,,,,,,128.00,,0.00
"5LASER TAN/PINK (5 PANEL LASER-CUT WATERPROOF PERFORATED SNAPBACK CAPS, TAN/PINK)",,,,,,,,"",,""
,"Inventory Adjust","03/10/2025",,,"5LASER TAN/PINK",12,"",12,0.00,0.00
,"Invoice","03/18/2025","GRAND BAZAAR INC","430975","5LASER TAN/PINK",-3,"",9,0.00,0.00
,"Build Assembly","03/31/2025",,"21","5LASER TAN/PINK",-1,"",8,0.00,0.00
,"Item Receipt","05/20/2025","EPOCH",,"5LASER TAN/PINK",23,0.00,31,0.00,0.00
,"Build Assembly","05/29/2025",,"55","5LASER TAN/PINK",-1,"",30,0.00,0.00
,"Build Assembly","07/17/2025",,"83","5LASER TAN/PINK",-1,"",29,0.00,0.00
,"Build Assembly","11/21/2025",,"158","5LASER TAN/PINK",-1,"",28,0.00,0.00
"Total 5LASER TAN/PINK (5 PANEL LASER-CUT WATERPROOF PERFORATED SNAPBACK CAPS, TAN/PINK)",,,,,,,,28.00,,0.00
"5LASER WHITE (5 PANEL LASER-CUT WATERPROOF PERFORATED SNAPBACK CAPS, WHITE)",,,,,,,,"",,""
,"Inventory Adjust","03/10/2025",,,"5LASER WHITE",12,"",12,0.00,0.00
,"Invoice","03/18/2025","GRAND BAZAAR INC","430975","5LASER WHITE",-3,"",9,0.00,0.00
,"Build Assembly","03/31/2025",,"20","5LASER WHITE",-1,"",8,0.00,0.00
,"Item Receipt","05/20/2025","EPOCH",,"5LASER WHITE",12,0.00,20,0.00,0.00
,"Item Receipt","05/20/2025","EPOCH",,"5LASER WHITE",108,0.00,128,0.00,0.00
